t, c	M(t), рад	E(t), рад	Teta(t), с	
431	0.300394	-0.879946	4.93073
432	0.301091	-0.879249	4.93161
433	0.301788	-0.878552	4.93249
434	0.302485	-0.877855	4.93338
435	0.303182	-0.877158	4.93426
436	0.303879	-0.876461	4.93515
437	0.304576	-0.875764	4.93603
438	0.305273	-0.875067	4.93692
439	0.30597	-0.87437	4.9378
440	0.306667	-0.873673	4.93869
441	0.307364	-0.872976	4.93957
442	0.308061	-0.872279	4.94046
443	0.308758	-0.871582	4.94135
444	0.309455	-0.870885	4.94223
445	0.310152	-0.870188	4.94312
446	0.310849	-0.869492	4.94401
447	0.311546	-0.868795	4.9449
448	0.312243	-0.868098	4.94578
449	0.31294	-0.867401	4.94667
450	0.313637	-0.866704	4.94756
451	0.314334	-0.866007	4.94845
452	0.31503	-0.86531	4.94934
453	0.315727	-0.864613	4.95023
454	0.316424	-0.863916	4.95112
455	0.317121	-0.863219	4.95201
456	0.317818	-0.862522	4.9529
457	0.318515	-0.861825	4.95379
458	0.319212	-0.861128	4.95469
459	0.319909	-0.860431	4.95558
460	0.320606	-0.859734	4.95647
461	0.321303	-0.859037	4.95736
462	0.322	-0.85834	4.95826
463	0.322697	-0.857643	4.95915
464	0.323394	-0.856946	4.96004
465	0.324091	-0.856249	4.96094
466	0.324788	-0.855552	4.96183
467	0.325485	-0.854855	4.96273
468	0.326182	-0.854158	4.96362
469	0.326879	-0.853461	4.96452
470	0.327576	-0.852764	4.96541
471	0.328273	-0.852067	4.96631
472	0.32897	-0.85137	4.96721
473	0.329667	-0.850673	4.9681
474	0.330364	-0.849976	4.969
475	0.331061	-0.849279	4.9699
476	0.331758	-0.848582	4.9708
477	0.332455	-0.847885	4.97169
478	0.333152	-0.847188	4.97259
479	0.333849	-0.846492	4.97349
480	0.334546	-0.845795	4.97439
481	0.335243	-0.845098	4.97529
482	0.33594	-0.844401	4.97619
483	0.336637	-0.843704	4.97709
484	0.337334	-0.843007	4.97799
485	0.33803	-0.84231	4.97889
486	0.338727	-0.841613	4.97979
487	0.339424	-0.840916	4.9807
488	0.340121	-0.840219	4.9816
489	0.340818	-0.839522	4.9825
490	0.341515	-0.838825	4.9834
491	0.342212	-0.838128	4.9843
492	0.342909	-0.837431	4.98521
493	0.343606	-0.836734	4.98611
494	0.344303	-0.836037	4.98702
495	0.345	-0.83534	4.98792
496	0.345697	-0.834643	4.98882
497	0.346394	-0.833946	4.98973
498	0.347091	-0.833249	4.99063
499	0.347788	-0.832552	4.99154
500	0.348485	-0.831855	4.99245
501	0.349182	-0.831158	4.99335
502	0.349879	-0.830461	4.99426
503	0.350576	-0.829764	4.99517
504	0.351273	-0.829067	4.99607
505	0.35197	-0.82837	4.99698
506	0.352667	-0.827673	4.99789
507	0.353364	-0.826976	4.9988
508	0.354061	-0.826279	4.99971
509	0.354758	-0.825582	5.00062
510	0.355455	-0.824885	5.00153
511	0.356152	-0.824188	5.00243
512	0.356849	-0.823492	5.00334
513	0.357546	-0.822795	5.00426
514	0.358243	-0.822098	5.00517
515	0.35894	-0.821401	5.00608
516	0.359637	-0.820704	5.00699
517	0.360334	-0.820007	5.0079
518	0.361031	-0.81931	5.00881
519	0.361727	-0.818613	5.00972
520	0.362424	-0.817916	5.01064
521	0.363121	-0.817219	5.01155
522	0.363818	-0.816522	5.01246
523	0.364515	-0.815825	5.01338
524	0.365212	-0.815128	5.01429
525	0.365909	-0.814431	5.01521
526	0.366606	-0.813734	5.01612
527	0.367303	-0.813037	5.01704
528	0.368	-0.81234	5.01795
529	0.368697	-0.811643	5.01887
530	0.369394	-0.810946	5.01978
531	0.370091	-0.810249	5.0207
532	0.370788	-0.809552	5.02162
533	0.371485	-0.808855	5.02253
534	0.372182	-0.808158	5.02345
535	0.372879	-0.807461	5.02437
536	0.373576	-0.806764	5.02529
537	0.374273	-0.806067	5.02621
538	0.37497	-0.80537	5.02713
539	0.375667	-0.804673	5.02805
540	0.376364	-0.803976	5.02896
541	0.377061	-0.803279	5.02988
542	0.377758	-0.802582	5.0308
543	0.378455	-0.801885	5.03173
544	0.379152	-0.801188	5.03265
545	0.379849	-0.800491	5.03357
546	0.380546	-0.799795	5.03449
547	0.381243	-0.799098	5.03541
548	0.38194	-0.798401	5.03633
549	0.382637	-0.797704	5.03726
550	0.383334	-0.797007	5.03818
551	0.384031	-0.79631	5.0391
552	0.384727	-0.795613	5.04003
553	0.385424	-0.794916	5.04095
554	0.386121	-0.794219	5.04187
555	0.386818	-0.793522	5.0428
556	0.387515	-0.792825	5.04372
557	0.388212	-0.792128	5.04465
558	0.388909	-0.791431	5.04558
559	0.389606	-0.790734	5.0465
560	0.390303	-0.790037	5.04743
561	0.391	-0.78934	5.04835
562	0.391697	-0.788643	5.04928
563	0.392394	-0.787946	5.05021
564	0.393091	-0.787249	5.05114
565	0.393788	-0.786552	5.05207
566	0.394485	-0.785855	5.05299
567	0.395182	-0.785158	5.05392
568	0.395879	-0.784461	5.05485
569	0.396576	-0.783764	5.05578
570	0.397273	-0.783067	5.05671
571	0.39797	-0.78237	5.05764
572	0.398667	-0.781673	5.05857
573	0.399364	-0.780976	5.0595
574	0.400061	-0.780279	5.06043
575	0.400758	-0.779582	5.06136
576	0.401455	-0.778885	5.0623
577	0.402152	-0.778188	5.06323
578	0.402849	-0.777491	5.06416
579	0.403546	-0.776795	5.06509
580	0.404243	-0.776098	5.06603
581	0.40494	-0.775401	5.06696
582	0.405637	-0.774704	5.0679
583	0.406334	-0.774007	5.06883
584	0.407031	-0.77331	5.06976
585	0.407727	-0.772613	5.0707
586	0.408424	-0.771916	5.07163
